Date,buySize,buyPrice,sellSize,sellPrice
01-03-2022,0.026470257,37778.25,0.02647025,37778.26
01-03-2022,0.02647025,37778.26,0.026466923,37783.01
01-03-2022,0.026465382,37785.21,0.026466579,37783.5
01-03-2022,0.026465375,37785.22,0.026465382,37785.21
01-03-2022,0.026465382,37785.21,0.026465382,37785.21
01-03-2022,0.026465382,37785.21,0.026465375,37785.22
01-03-2022,0.026465382,37785.21,0.026465375,37785.22
01-03-2022,0.026464905,37785.89,0.026464429,37786.57
01-03-2022,0.026464429,37786.57,0.026464429,37786.57
01-03-2022,0.026455978,37798.64,0.026455733,37798.99
01-03-2022,0.026455733,37798.99,0.026455733,37798.99
01-03-2022,0.026457238,37796.84,0.026460227,37792.57
01-03-2022,0.02646022,37792.58,0.026460227,37792.57
01-03-2022,0.026457525,37796.43,0.026457532,37796.42
01-03-2022,0.026462517,37789.3,0.026462524,37789.29
01-03-2022,0.026462524,37789.29,0.026465361,37785.24
01-03-2022,0.026465368,37785.23,0.026465368,37785.23
01-03-2022,0.026470152,37778.4,0.026470145,37778.41
01-03-2022,0.026470496,37777.91,0.026470496,37777.91
01-03-2022,0.026470496,37777.91,0.026470503,37777.9
01-03-2022,0.026470496,37777.91,0.026470496,37777.91
01-03-2022,0.026475913,37770.18,0.026475913,37770.18
01-03-2022,0.026475913,37770.18,0.026475913,37770.18
01-03-2022,0.026475913,37770.18,0.026475913,37770.18
01-03-2022,0.026475913,37770.18,0.026475913,37770.18
01-03-2022,0.026475913,37770.18,0.026475913,37770.18
01-03-2022,0.02647592,37770.17,0.026473369,37773.81
01-03-2022,0.026470615,37777.74,0.026470615,37777.74
01-03-2022,0.026470622,37777.73,0.02647592,37770.17
01-03-2022,0.026477063,37768.54,0.026477063,37768.54
01-03-2022,0.026477063,37768.54,0.026477063,37768.54
01-03-2022,0.026475191,37771.21,0.026475184,37771.22
01-03-2022,0.026475184,37771.22,0.026475184,37771.22
01-03-2022,0.026472675,37774.8,0.026472647,37774.84
01-03-2022,0.026472675,37774.8,0.026472647,37774.84
01-03-2022,0.026472654,37774.83,0.026472647,37774.84
01-03-2022,0.026472647,37774.84,0.026477042,37768.57
01-03-2022,0.02648155,37762.14,0.026484103,37758.5
01-03-2022,0.026489491,37750.82,0.026489491,37750.82
01-03-2022,0.026489491,37750.82,0.026489491,37750.82
01-03-2022,0.026489491,37750.82,0.026489498,37750.81
01-03-2022,0.026484117,37758.48,0.02648411,37758.49
01-03-2022,0.02648411,37758.49,0.026478156,37766.98
01-03-2022,0.026481557,37762.13,0.026477981,37767.23
01-03-2022,0.026478156,37766.98,0.026482777,37760.39
01-03-2022,0.026482777,37760.39,0.026478836,37766.01
01-03-2022,0.026478836,37766.01,0.026478829,37766.02
01-03-2022,0.026478829,37766.02,0.026478829,37766.02
01-03-2022,0.026478829,37766.02,0.026478829,37766.02
01-03-2022,0.026484103,37758.5,0.026482118,37761.33
01-03-2022,0.02648169,37761.94,0.02647885,37765.99
01-03-2022,0.026478843,37766,0.026478843,37766
01-03-2022,0.026478843,37766,0.026478843,37766
01-03-2022,0.026478843,37766,0.026474343,37772.42
01-03-2022,0.026478843,37766,0.026474336,37772.43
01-03-2022,0.026477063,37768.54,0.026474336,37772.43
01-03-2022,0.026474343,37772.42,0.026474336,37772.43
01-03-2022,0.026472367,37775.24,0.026472367,37775.24
01-03-2022,0.026472219,37775.45,0.026468036,37781.42
01-03-2022,0.026468772,37780.37,0.026468751,37780.4
01-03-2022,0.026468078,37781.36,0.026468071,37781.37
01-03-2022,0.026465368,37785.23,0.026464114,37787.02
01-03-2022,0.026463757,37787.53,0.02646375,37787.54
01-03-2022,0.026463736,37787.56,0.026461572,37790.65
01-03-2022,0.026459926,37793,0.026459919,37793.01
01-03-2022,0.026459926,37793,0.026459926,37793
01-03-2022,0.026459926,37793,0.026459926,37793
01-03-2022,0.026458113,37795.59,0.026458141,37795.55
01-03-2022,0.026458141,37795.55,0.026458141,37795.55
01-03-2022,0.026458141,37795.55,0.026458134,37795.56
01-03-2022,0.026458134,37795.56,0.026458141,37795.55
01-03-2022,0.026457637,37796.27,0.026459926,37793
01-03-2022,0.026459926,37793,0.026459457,37793.67
01-03-2022,0.026459457,37793.67,0.026459457,37793.67
01-03-2022,0.026459457,37793.67,0.026457798,37796.04
01-03-2022,0.02645532,37799.58,0.02645532,37799.58
01-03-2022,0.02645532,37799.58,0.026455327,37799.57
01-03-2022,0.02645532,37799.58,0.026455327,37799.57
01-03-2022,0.026453599,37802.04,0.026453599,37802.04
01-03-2022,0.026453606,37802.03,0.026454775,37800.36
01-03-2022,0.026453599,37802.04,0.026453606,37802.03
01-03-2022,0.026453599,37802.04,0.026455026,37800
01-03-2022,0.026455019,37800.01,0.026455026,37800
01-03-2022,0.026455026,37800,0.026455019,37800.01
01-03-2022,0.026453599,37802.04,0.026453606,37802.03
01-03-2022,0.026455005,37800.03,0.026453599,37802.04
01-03-2022,0.026454928,37800.14,0.026454928,37800.14
01-03-2022,0.026454928,37800.14,0.026454935,37800.13
01-03-2022,0.026454928,37800.14,0.026454935,37800.13
01-03-2022,0.026454935,37800.13,0.026454935,37800.13
01-03-2022,0.026463301,37788.18,0.026463294,37788.19
01-03-2022,0.026463301,37788.18,0.02646805,37781.4
01-03-2022,0.026464247,37786.83,0.026464254,37786.82
01-03-2022,0.026464254,37786.82,0.026463301,37788.18
01-03-2022,0.026466047,37784.26,0.026469213,37779.74
01-03-2022,0.02646805,37781.4,0.026470566,37777.81
01-03-2022,0.026473102,37774.19,0.026473095,37774.2
01-03-2022,0.026473102,37774.19,0.026473095,37774.2
01-03-2022,0.026478717,37766.18,0.026478843,37766
01-03-2022,0.026478836,37766.01,0.026478836,37766.01
01-03-2022,0.026476572,37769.24,0.026476572,37769.24
01-03-2022,0.026476572,37769.24,0.026476579,37769.23
01-03-2022,0.026476572,37769.24,0.026476572,37769.24
01-03-2022,0.026476579,37769.23,0.026476572,37769.24
01-03-2022,0.026476572,37769.24,0.026476579,37769.23
01-03-2022,0.026476579,37769.23,0.026476572,37769.24
01-03-2022,0.026476579,37769.23,0.026476572,37769.24
01-03-2022,0.026476572,37769.24,0.026472927,37774.44
01-03-2022,0.026476579,37769.23,0.026472927,37774.44
01-03-2022,0.026473257,37773.97,0.026473257,37773.97
01-03-2022,0.026476572,37769.24,0.026476579,37769.23
01-03-2022,0.026476579,37769.23,0.026476579,37769.23
01-03-2022,0.026478836,37766.01,0.026480547,37763.57
01-03-2022,0.02648054,37763.58,0.02648054,37763.58
01-03-2022,0.026484874,37757.4,0.026484874,37757.4
01-03-2022,0.026484874,37757.4,0.026484882,37757.39
01-03-2022,0.026484882,37757.39,0.026486411,37755.21
01-03-2022,0.026487674,37753.41,0.026487681,37753.4
01-03-2022,0.026487674,37753.41,0.026487681,37753.4
01-03-2022,0.026497177,37739.87,0.026498405,37738.12
01-03-2022,0.026498412,37738.11,0.026498412,37738.11
01-03-2022,0.026495758,37741.89,0.026494734,37743.35
01-03-2022,0.026494081,37744.28,0.026494088,37744.27
01-03-2022,0.026494088,37744.27,0.026494088,37744.27
01-03-2022,0.026494088,37744.27,0.026494088,37744.27
01-03-2022,0.026494088,37744.27,0.026494088,37744.27
01-03-2022,0.026489463,37750.86,0.026489456,37750.87
01-03-2022,0.026489463,37750.86,0.026492361,37746.73
01-03-2022,0.026492354,37746.74,0.0264902,37749.81
01-03-2022,0.026492354,37746.74,0.026488298,37752.52
01-03-2022,0.026490403,37749.52,0.026488298,37752.52
01-03-2022,0.026487989,37752.96,0.026488305,37752.51
01-03-2022,0.026488305,37752.51,0.026487996,37752.95
01-03-2022,0.026487989,37752.96,0.026486074,37755.69
01-03-2022,0.026486074,37755.69,0.026486081,37755.68
01-03-2022,0.026486074,37755.69,0.026482174,37761.25
01-03-2022,0.02648094,37763.01,0.026478836,37766.01
01-03-2022,0.026478843,37766,0.026478836,37766.01
01-03-2022,0.026478843,37766,0.026478184,37766.94
01-03-2022,0.02647517,37771.24,0.026475163,37771.25
01-03-2022,0.02647517,37771.24,0.02647517,37771.24
01-03-2022,0.026475163,37771.25,0.02647517,37771.24
01-03-2022,0.026478836,37766.01,0.026478843,37766
